audio_file,model,inference_time_s,benchmark_synthesis_time_s,model_size_mb,cpu_load_percent,ram_usage_mb,gpu_usage_mb
models/speecht5/0.wav,speecht5,0.4892849922180176,0.07980227470397949,550.9716110229492,13.0,1500.73046875,626.12109375
models/speecht5/1.wav,speecht5,0.47392821311950684,0.07980227470397949,550.9716110229492,13.0,1500.73046875,626.12109375
models/speecht5/2.wav,speecht5,0.5788118839263916,0.07980227470397949,550.9716110229492,13.0,1500.73046875,626.12109375
models/speecht5/3.wav,speecht5,0.5430784225463867,0.07980227470397949,550.9716110229492,13.0,1500.73046875,626.12109375
models/speecht5/4.wav,speecht5,0.6307680606842041,0.07980227470397949,550.9716110229492,13.0,1500.73046875,626.12109375
models/speecht5/5.wav,speecht5,0.3039412498474121,0.07980227470397949,550.9716110229492,13.0,1500.73046875,626.12109375
models/speecht5/6.wav,speecht5,0.6553037166595459,0.07980227470397949,550.9716110229492,13.0,1500.73046875,626.12109375
models/speecht5/7.wav,speecht5,0.5207321643829346,0.07980227470397949,550.9716110229492,13.0,1500.73046875,626.12109375
models/speecht5/8.wav,speecht5,0.44849562644958496,0.07980227470397949,550.9716110229492,13.0,1500.73046875,626.12109375
models/speecht5/9.wav,speecht5,0.7685897350311279,0.07980227470397949,550.9716110229492,13.0,1500.73046875,626.12109375
models/vits/0.wav,vits,0.3238027095794678,0.21277093887329102,138.55462646484375,3.6,2150.46484375,875.71923828125
models/vits/1.wav,vits,0.12741971015930176,0.21277093887329102,138.55462646484375,3.6,2150.46484375,875.71923828125
models/vits/2.wav,vits,0.13129758834838867,0.21277093887329102,138.55462646484375,3.6,2150.46484375,875.71923828125
models/vits/3.wav,vits,0.12582135200500488,0.21277093887329102,138.55462646484375,3.6,2150.46484375,875.71923828125
models/vits/4.wav,vits,0.1502532958984375,0.21277093887329102,138.55462646484375,3.6,2150.46484375,875.71923828125
models/vits/5.wav,vits,0.15682744979858398,0.21277093887329102,138.55462646484375,3.6,2150.46484375,875.71923828125
models/vits/6.wav,vits,0.13791561126708984,0.21277093887329102,138.55462646484375,3.6,2150.46484375,875.71923828125
models/vits/7.wav,vits,0.13045763969421387,0.21277093887329102,138.55462646484375,3.6,2150.46484375,875.71923828125
models/vits/8.wav,vits,0.12273573875427246,0.21277093887329102,138.55462646484375,3.6,2150.46484375,875.71923828125
models/vits/9.wav,vits,0.1354525089263916,0.21277093887329102,138.55462646484375,3.6,2150.46484375,875.71923828125
models/tacotron2_DCA/0.wav,tacotron2_DCA,0.35874509811401367,0.08579468727111816,380.8066177368164,2.5,2462.44921875,1715.89697265625
models/tacotron2_DCA/1.wav,tacotron2_DCA,0.33842945098876953,0.08579468727111816,380.8066177368164,2.5,2462.44921875,1715.89697265625
models/tacotron2_DCA/2.wav,tacotron2_DCA,0.4434845447540283,0.08579468727111816,380.8066177368164,2.5,2462.44921875,1715.89697265625
models/tacotron2_DCA/3.wav,tacotron2_DCA,0.3476574420928955,0.08579468727111816,380.8066177368164,2.5,2462.44921875,1715.89697265625
models/tacotron2_DCA/4.wav,tacotron2_DCA,0.42641258239746094,0.08579468727111816,380.8066177368164,2.5,2462.44921875,1715.89697265625
models/tacotron2_DCA/5.wav,tacotron2_DCA,0.42685532569885254,0.08579468727111816,380.8066177368164,2.5,2462.44921875,1715.89697265625
models/tacotron2_DCA/6.wav,tacotron2_DCA,1.6815605163574219,0.08579468727111816,380.8066177368164,2.5,2462.44921875,1715.89697265625
models/tacotron2_DCA/7.wav,tacotron2_DCA,0.39925074577331543,0.08579468727111816,380.8066177368164,2.5,2462.44921875,1715.89697265625
models/tacotron2_DCA/8.wav,tacotron2_DCA,0.3569071292877197,0.08579468727111816,380.8066177368164,2.5,2462.44921875,1715.89697265625
models/tacotron2_DCA/9.wav,tacotron2_DCA,0.48821520805358887,0.08579468727111816,380.8066177368164,2.5,2462.44921875,1715.89697265625
models/fast_pitch/0.wav,fast_pitch,0.14302325248718262,,423.8362808227539,2.0,2880.4140625,1594.8046875
models/fast_pitch/1.wav,fast_pitch,0.18726491928100586,,423.8362808227539,2.0,2880.4140625,1594.8046875
models/fast_pitch/2.wav,fast_pitch,0.20597100257873535,,423.8362808227539,2.0,2880.4140625,1594.8046875
models/fast_pitch/3.wav,fast_pitch,0.1549673080444336,,423.8362808227539,2.0,2880.4140625,1594.8046875
models/fast_pitch/4.wav,fast_pitch,0.16811466217041016,,423.8362808227539,2.0,2880.4140625,1594.8046875
models/fast_pitch/5.wav,fast_pitch,0.17363834381103516,,423.8362808227539,2.0,2880.4140625,1594.8046875
models/fast_pitch/6.wav,fast_pitch,0.171400785446167,,423.8362808227539,2.0,2880.4140625,1594.8046875
models/fast_pitch/7.wav,fast_pitch,0.17406034469604492,,423.8362808227539,2.0,2880.4140625,1594.8046875
models/fast_pitch/8.wav,fast_pitch,0.1506483554840088,,423.8362808227539,2.0,2880.4140625,1594.8046875
models/fast_pitch/9.wav,fast_pitch,0.1734461784362793,,423.8362808227539,2.0,2880.4140625,1594.8046875
models/whisper-speech/0.wav,whisper-speech,11.826054811477661,3.0097947120666504,,3.8,3298.80078125,3205.48193359375
models/whisper-speech/1.wav,whisper-speech,11.620999336242676,3.0097947120666504,,3.8,3298.80078125,3205.48193359375
models/whisper-speech/2.wav,whisper-speech,14.903845310211182,3.0097947120666504,,3.8,3298.80078125,3205.48193359375
models/whisper-speech/3.wav,whisper-speech,10.973132371902466,3.0097947120666504,,3.8,3298.80078125,3205.48193359375
